Date	Temperature
2016-05-27T17:11:54Z	26.32
2016-05-27T17:11:55Z	26.65
2016-05-27T17:16:21Z	27.27
2016-05-27T17:19:14Z	24.31
2016-05-27T17:22:14Z	23.15
2016-05-27T17:25:14Z	22.57
2016-05-27T17:28:14Z	22.19
2016-05-27T17:31:14Z	21.95
2016-05-27T17:34:14Z	21.75
2016-05-27T17:37:14Z	21.63
2016-05-27T17:40:14Z	21.51
2016-05-27T17:43:14Z	21.45
2016-05-27T17:46:14Z	21.38
2016-05-27T17:49:14Z	21.35
2016-05-27T17:52:14Z	21.28
2016-05-27T17:55:14Z	21.23
2016-05-27T17:58:14Z	21.2
2016-05-27T18:01:14Z	21.16
2016-05-27T18:04:14Z	21.13
2016-05-27T18:07:14Z	21.13
2016-05-27T18:10:11Z	21.1
2016-05-27T18:13:11Z	21.1
2016-05-27T18:16:11Z	21.13
2016-05-27T18:19:11Z	21.6
2016-05-27T18:22:11Z	22.4
2016-05-27T18:25:11Z	23.7
2016-05-27T18:28:11Z	25.51
2016-05-27T18:31:11Z	26.86
2016-05-27T18:34:11Z	28.11
2016-05-27T18:37:11Z	29.0
2016-05-27T18:40:11Z	30.12
2016-05-27T18:43:11Z	31.43
2016-05-27T18:46:11Z	32.19
2016-05-27T18:49:11Z	32.76
2016-05-27T18:52:11Z	33.2
2016-05-27T18:55:11Z	33.48
2016-05-27T18:58:11Z	33.75
2016-05-27T19:01:11Z	33.95
2016-05-27T19:04:11Z	33.08
2016-05-27T19:07:11Z	33.0
2016-05-27T19:10:08Z	33.11
2016-05-27T19:13:08Z	33.26
2016-05-27T19:16:08Z	33.4
2016-05-27T19:19:08Z	33.54
2016-05-27T19:22:08Z	33.66
2016-05-27T19:25:08Z	34.17
2016-05-27T19:28:08Z	34.55
2016-05-27T19:31:08Z	34.77
2016-05-27T19:34:08Z	34.93
2016-05-27T19:37:08Z	35.03
2016-05-27T19:40:08Z	35.13
2016-05-27T19:43:08Z	35.21
2016-05-27T19:46:08Z	35.3
2016-05-27T19:49:08Z	35.33
